doc_id,remote_path,file_name,pb_folder,source_folder
3b02dae59553,"1 - Climate Change/SDG13/Influence of biomass burning and anthropogenic emissions on ozone, carbon monoxide and black carbon at the Mt. Cimone GAW-WMO global station (Italy, 2165 m a.s.l.).pdf","Influence of biomass burning and anthropogenic emissions on ozone, carbon monoxide and black carbon at the Mt. Cimone GAW-WMO global station (Italy, 2165 m a.s.l.).pdf",1 - Climate Change,SDG13
ae1c793b63f8,6 - Land System Change/No SDG/Challenges and Opportunities of Social Media Data for Socio-Environmental Systems Research.pdf,Challenges and Opportunities of Social Media Data for Socio-Environmental Systems Research.pdf,6 - Land System Change,No SDG
0bda4e88ce67,1 - Climate Change/SDG17/What Shall We Do With a Sea of Plastics_ A Systematic Literature Review on How to Pave the Road Toward a Global Comprehensive Plastic Governance Agreement.pdf,What Shall We Do With a Sea of Plastics_ A Systematic Literature Review on How to Pave the Road Toward a Global Comprehensive Plastic Governance Agreement.pdf,1 - Climate Change,SDG17
335adcc17b63,6 - Land System Change/SDG8/Créativité et médiation en tourisme et en patrimoine.pdf,Créativité et médiation en tourisme et en patrimoine.pdf,6 - Land System Change,SDG8
54c28f7106f4,6 - Land System Change/SDG13/Basic Concepts for Convection Parameterization in Weather Forecast and Climate Models_ COST Action ES0905 Final Report.pdf,Basic Concepts for Convection Parameterization in Weather Forecast and Climate Models_ COST Action ES0905 Final Report.pdf,6 - Land System Change,SDG13
8a969508fe0d,9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Long term monitoring of the chemical composition of precipitation and wet deposition fluxes over three Sahelian savannas.pdf,Long term monitoring of the chemical composition of precipitation and wet deposition fluxes over three Sahelian savannas.pdf,9 - Atmospheric Aerosol Loading,No SDG
193287d08ff7,7 - Biosphere Integrity/No SDG/Non-alignment strategy_ politics and theory.pdf,Non-alignment strategy_ politics and theory.pdf,7 - Biosphere Integrity,No SDG
f837aada1c57,5 - Global Freshwater Use/No SDG/temp_batch/Contaminant-induced endocrine and reproductive alterations in reptiles.pdf,Contaminant-induced endocrine and reproductive alterations in reptiles.pdf,5 - Global Freshwater Use,No SDG
b79a8e377401,1 - Climate Change/SDG12/Understanding Of Local Knowledge In Sustainable Development Toward Global Perspective Exploration Studies Of Javanese Culture.pdf,Understanding Of Local Knowledge In Sustainable Development Toward Global Perspective Exploration Studies Of Javanese Culture.pdf,1 - Climate Change,SDG12
aa10aa53929d,8 - Novel Entities/No SDG/Krüppel-Like Factor 8 (KLF8) Is Expressed in Gliomas of Different WHO Grades and Is Essential for Tumor Cell Proliferation.pdf,Krüppel-Like Factor 8 (KLF8) Is Expressed in Gliomas of Different WHO Grades and Is Essential for Tumor Cell Proliferation.pdf,8 - Novel Entities,No SDG
a09634b0e7d9,3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Estimate of the atmospheric turbidity from three broad-band solar radiation algorithms. A comparative study.pdf,Estimate of the atmospheric turbidity from three broad-band solar radiation algorithms. A comparative study.pdf,3 - Stratospheric Ozone Depletion,No SDG
f93b9079eae2,"1 - Climate Change/No SDG/Impact of climate change on heat-related mortality in Jiangsu Province, China.pdf","Impact of climate change on heat-related mortality in Jiangsu Province, China.pdf",1 - Climate Change,No SDG
5eeb0ff9d127,1 - Climate Change/SDG17/Summary of the science performed onboard the International Space Station during increments 12 and 13.pdf,Summary of the science performed onboard the International Space Station during increments 12 and 13.pdf,1 - Climate Change,SDG17
2552a6b84db7,"1 - Climate Change/SDG11/Seasonal Variations of Atmospheric Aerosol Particles Focused on Cloud Condensation Nuclei and Ice Nucleating Particles from Ground-Based Observations in Tsukuba, Japan.pdf","Seasonal Variations of Atmospheric Aerosol Particles Focused on Cloud Condensation Nuclei and Ice Nucleating Particles from Ground-Based Observations in Tsukuba, Japan.pdf",1 - Climate Change,SDG11
c37662936836,8 - Novel Entities/No SDG/The ten-year evolutionary trajectory of a highly recurrent paediatric high grade neuroepithelial tumour with MN1_BEND2 fusion.pdf,The ten-year evolutionary trajectory of a highly recurrent paediatric high grade neuroepithelial tumour with MN1_BEND2 fusion.pdf,8 - Novel Entities,No SDG
df7f18a229e1,5 - Global Freshwater Use/No SDG/Fish-SPRICH_ a database of freshwater fish species richness throughout the World.pdf,Fish-SPRICH_ a database of freshwater fish species richness throughout the World.pdf,5 - Global Freshwater Use,No SDG
379cc14653f1,1 - Climate Change/SDG4/Scottish Literature_ Representing the Nation in the Age of the Post-National.pdf,Scottish Literature_ Representing the Nation in the Age of the Post-National.pdf,1 - Climate Change,SDG4
d5d534bbfec8,4 - Biogeochemical Flows/No SDG/Worldwide Typology of Nearshore Coastal Systems_ Defining the Estuarine Filter of River Inputs to the Oceans.pdf,Worldwide Typology of Nearshore Coastal Systems_ Defining the Estuarine Filter of River Inputs to the Oceans.pdf,4 - Biogeochemical Flows,No SDG
b0812c55f25d,4 - Biogeochemical Flows/No SDG/temp_batch/Modelling water discharges and nitrogen inputs into a Mediterranean lagoon.pdf,Modelling water discharges and nitrogen inputs into a Mediterranean lagoon.pdf,4 - Biogeochemical Flows,No SDG
3ebffd3cda90,4 - Biogeochemical Flows/No SDG/Transport and Fate of Nitrate at the Ground‐Water_Surface‐Water Interface.pdf,Transport and Fate of Nitrate at the Ground‐Water_Surface‐Water Interface.pdf,4 - Biogeochemical Flows,No SDG
08dd0faa47db,8 - Novel Entities/No SDG/temp_batch/Identification of novel modulators of a schistosome transient receptor potential channel targeted by praziquantel.pdf,Identification of novel modulators of a schistosome transient receptor potential channel targeted by praziquantel.pdf,8 - Novel Entities,No SDG
e21bcccdc36f,8 - Novel Entities/SDG5/Subtractive-Catastrophic Xenophilia.pdf,Subtractive-Catastrophic Xenophilia.pdf,8 - Novel Entities,SDG5
ae6adea103cc,3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Effect of sea salt aerosol on tropospheric bromine chemistry.pdf,Effect of sea salt aerosol on tropospheric bromine chemistry.pdf,3 - Stratospheric Ozone Depletion,No SDG
dbd56c1e6c77,7 - Biosphere Integrity/No SDG/Anomalous flow below 2700 m in the EPICA Dome C ice core detected using δ&lt;sup&gt;18&lt;_sup&gt;O of atmospheric oxygen measurements.pdf,Anomalous flow below 2700 m in the EPICA Dome C ice core detected using δ&lt;sup&gt;18&lt;_sup&gt;O of atmospheric oxygen measurements.pdf,7 - Biosphere Integrity,No SDG
9ade575f3c63,"9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Particle hygroscopicity and its link to chemical composition in the urban atmosphere of Beijing, China, during summertime.pdf","Particle hygroscopicity and its link to chemical composition in the urban atmosphere of Beijing, China, during summertime.pdf",9 - Atmospheric Aerosol Loading,No SDG
d35274b9d6e4,1 - Climate Change/SDG11/Review of Design of Collective Housing in the 21st Century.pdf,Review of Design of Collective Housing in the 21st Century.pdf,1 - Climate Change,SDG11
06c2a1560daf,2 - Ocean Acidification/No SDG/Changes in coral microbial communities in response to a natural pH gradient.pdf,Changes in coral microbial communities in response to a natural pH gradient.pdf,2 - Ocean Acidification,No SDG
3d63ae2abdb4,1 - Climate Change/SDG2/A Web of Science based bibliometric reconnaissance of the Himalaya-Karakoram-Hindukush-Tibet region with focus on field sciences.pdf,A Web of Science based bibliometric reconnaissance of the Himalaya-Karakoram-Hindukush-Tibet region with focus on field sciences.pdf,1 - Climate Change,SDG2
c7713c6023ae,"5 - Global Freshwater Use/No SDG/temp_batch/Anthropogenic contamination of tap water, beer, and sea salt.pdf","Anthropogenic contamination of tap water, beer, and sea salt.pdf",5 - Global Freshwater Use,No SDG
99fb3d25e54d,1 - Climate Change/SDG13/Extreme rainfall in Mediterranean France during the fall_ added value of the CNRM-AROME Convection-Permitting Regional Climate Model.pdf,Extreme rainfall in Mediterranean France during the fall_ added value of the CNRM-AROME Convection-Permitting Regional Climate Model.pdf,1 - Climate Change,SDG13
6fd392bfe230,8 - Novel Entities/No SDG/Recognizing Musical Entities in User-generated Content.pdf,Recognizing Musical Entities in User-generated Content.pdf,8 - Novel Entities,No SDG
87b3c8220365,8 - Novel Entities/SDG9/Progress in Preparation and Properties of Porous Silicon Nitride Ceramics.pdf,Progress in Preparation and Properties of Porous Silicon Nitride Ceramics.pdf,8 - Novel Entities,SDG9
db94a5ece2d7,6 - Land System Change/No SDG/Modeling Land Use and Land Cover Dynamic Using Geographic Information System and Markov-CA.pdf,Modeling Land Use and Land Cover Dynamic Using Geographic Information System and Markov-CA.pdf,6 - Land System Change,No SDG
78c0c6a8746c,"1 - Climate Change/SDG2/Research status, development trends, and the prospects of cultivated land risk.pdf","Research status, development trends, and the prospects of cultivated land risk.pdf",1 - Climate Change,SDG2
86208469bc67,1 - Climate Change/No SDG/temp_batch/Towards a Comprehensive Framework for Climate Change Multi-Risk Assessment in the Mining Industry.pdf,Towards a Comprehensive Framework for Climate Change Multi-Risk Assessment in the Mining Industry.pdf,1 - Climate Change,No SDG
483e4e376812,9 - Atmospheric Aerosol Loading/No SDG/Remarkable dynamics of nanoparticles in the urban atmosphere.pdf,Remarkable dynamics of nanoparticles in the urban atmosphere.pdf,9 - Atmospheric Aerosol Loading,No SDG
fdc02b70443d,"7 - Biosphere Integrity/No SDG/temp_batch/Water Dynamics in a Coastal Wetland in the “Parque Costero del Sur” Biosphere Reserve, Argentina.pdf","Water Dynamics in a Coastal Wetland in the “Parque Costero del Sur” Biosphere Reserve, Argentina.pdf",7 - Biosphere Integrity,No SDG
683105e30921,1 - Climate Change/No SDG/Climate Change and Birth Weight.pdf,Climate Change and Birth Weight.pdf,1 - Climate Change,No SDG
f8e2bdbc2e32,2 - Ocean Acidification/No SDG/temp_batch/Monitoring Ocean Change in the 21st Century.pdf,Monitoring Ocean Change in the 21st Century.pdf,2 - Ocean Acidification,No SDG
ca9d85008c52,1 - Climate Change/No SDG/Predicting shifting sustainability trade‐offs in marine finfish aquaculture under climate change.pdf,Predicting shifting sustainability trade‐offs in marine finfish aquaculture under climate change.pdf,1 - Climate Change,No SDG
41368d49a232,1 - Climate Change/No SDG/Climate change impact on water resource extremes in a headwater region of the Tarim basin in China.pdf,Climate change impact on water resource extremes in a headwater region of the Tarim basin in China.pdf,1 - Climate Change,No SDG
a6110359b48d,3 - Stratospheric Ozone Depletion/SDG13/Net effect of the QBO in a chemistry climate model.pdf,Net effect of the QBO in a chemistry climate model.pdf,3 - Stratospheric Ozone Depletion,SDG13
75024e31ade5,6 - Land System Change/No SDG/temp_batch/Interplay of land governance and large-scale agricultural investment_ evidence from Ghana and Kenya.pdf,Interplay of land governance and large-scale agricultural investment_ evidence from Ghana and Kenya.pdf,6 - Land System Change,No SDG
544d9de1205f,6 - Land System Change/No SDG/Vegetation restoration in Northern China_ A contrasted picture.pdf,Vegetation restoration in Northern China_ A contrasted picture.pdf,6 - Land System Change,No SDG
54a234d0f4b6,5 - Global Freshwater Use/No SDG/temp_batch/Sustainability management of short-lived freshwater fish in human-altered ecosystems should focus on adult survival.pdf,Sustainability management of short-lived freshwater fish in human-altered ecosystems should focus on adult survival.pdf,5 - Global Freshwater Use,No SDG
6e5ee01eeb35,6 - Land System Change/No SDG/temp_batch/Stimulation of aphid damage in winter wheat.pdf,Stimulation of aphid damage in winter wheat.pdf,6 - Land System Change,No SDG
ad0c4c2800af,3 - Stratospheric Ozone Depletion/No SDG/Dead time effect on the Brewer measurements_ correction and estimated uncertainties.pdf,Dead time effect on the Brewer measurements_ correction and estimated uncertainties.pdf,3 - Stratospheric Ozone Depletion,No SDG
f0292800844d,3 - Stratospheric Ozone Depletion/No SDG/Aerosol optical properties in Northern Norway and Svalbard.pdf,Aerosol optical properties in Northern Norway and Svalbard.pdf,3 - Stratospheric Ozone Depletion,No SDG
fae5c2a720bc,7 - Biosphere Integrity/No SDG/The second International Symposium on Fungal Stress_ ISFUS.pdf,The second International Symposium on Fungal Stress_ ISFUS.pdf,7 - Biosphere Integrity,No SDG
91af46119bdd,8 - Novel Entities/No SDG/Chinese Cervicocephalic artery dissection study (CCADS)_ rationale and protocol for a multicenter prospective cohort study.pdf,Chinese Cervicocephalic artery dissection study (CCADS)_ rationale and protocol for a multicenter prospective cohort study.pdf,8 - Novel Entities,No SDG
097e3352ca47,1 - Climate Change/SDG6/temp_batch/Change in terrestrial ecosystem water‐use efficiency over the last three decades.pdf,Change in terrestrial ecosystem water‐use efficiency over the last three decades.pdf,1 - Climate Change,SDG6
ee0799730214,3 - Stratospheric Ozone Depletion/No SDG/temp_batch/The Anti-apoptotic and Anti-oxidant Effect of Eriodictyol on UV-Induced Apoptosis in Keratinocytes.pdf,The Anti-apoptotic and Anti-oxidant Effect of Eriodictyol on UV-Induced Apoptosis in Keratinocytes.pdf,3 - Stratospheric Ozone Depletion,No SDG
db7e1177f63f,"4 - Biogeochemical Flows/No SDG/Past and projected future changes in snowpack and soil frost at the Hubbard Brook Experimental Forest, New Hampshire, USA.pdf","Past and projected future changes in snowpack and soil frost at the Hubbard Brook Experimental Forest, New Hampshire, USA.pdf",4 - Biogeochemical Flows,No SDG
1c4ac65ff52d,1 - Climate Change/No SDG/Understanding and responding to danger from climate change_ the role of key risks in the IPCC AR5.pdf,Understanding and responding to danger from climate change_ the role of key risks in the IPCC AR5.pdf,1 - Climate Change,No SDG
87f772741037,1 - Climate Change/SDG15/temp_batch/Satellite-Based Estimation of Roughness Length over Vegetated Surfaces and Its Utilization in WRF Simulations.pdf,Satellite-Based Estimation of Roughness Length over Vegetated Surfaces and Its Utilization in WRF Simulations.pdf,1 - Climate Change,SDG15
da4044c856b3,9 - Atmospheric Aerosol Loading/No SDG/Toward a standardised thermal-optical protocol for measuring atmospheric organic and elemental carbon_ the EUSAAR protocol.pdf,Toward a standardised thermal-optical protocol for measuring atmospheric organic and elemental carbon_ the EUSAAR protocol.pdf,9 - Atmospheric Aerosol Loading,No SDG
d735fa453137,5 - Global Freshwater Use/No SDG/Synthetic fibers in atmospheric fallout_ A source of microplastics in the environment_.pdf,Synthetic fibers in atmospheric fallout_ A source of microplastics in the environment_.pdf,5 - Global Freshwater Use,No SDG
8e594daf431f,6 - Land System Change/SDG13/Assessing atmospheric predictability on Mars using numerical weather prediction and data assimilation.pdf,Assessing atmospheric predictability on Mars using numerical weather prediction and data assimilation.pdf,6 - Land System Change,SDG13
785cfe531809,7 - Biosphere Integrity/No SDG/Major Personality Traits Influencing Environmental Knowledge A Case Of Urban Learning Ecologies.pdf,Major Personality Traits Influencing Environmental Knowledge A Case Of Urban Learning Ecologies.pdf,7 - Biosphere Integrity,No SDG
768831e41673,9 - Atmospheric Aerosol Loading/No SDG/temp_batch/GFIT3_ a full physics retrieval algorithm for remote sensing of greenhouse gases in the presence of aerosols.pdf,GFIT3_ a full physics retrieval algorithm for remote sensing of greenhouse gases in the presence of aerosols.pdf,9 - Atmospheric Aerosol Loading,No SDG
dc590a998cd7,8 - Novel Entities/No SDG/Jaffe-Campanacci syndrome or neurofibromatosis type 1_ a case report of phenotypic overlap with detection of NF1 gene mutation in non-ossifying fibroma.pdf,Jaffe-Campanacci syndrome or neurofibromatosis type 1_ a case report of phenotypic overlap with detection of NF1 gene mutation in non-ossifying fibroma.pdf,8 - Novel Entities,No SDG
323dd9cee9fb,5 - Global Freshwater Use/No SDG/Methods of the Water-Energy-Food Nexus.pdf,Methods of the Water-Energy-Food Nexus.pdf,5 - Global Freshwater Use,No SDG
0c73dac436b8,1 - Climate Change/SDG16/OPINION PIECE Counterproductive consequences of ‘anti-GMO’ activism.pdf,OPINION PIECE Counterproductive consequences of ‘anti-GMO’ activism.pdf,1 - Climate Change,SDG16
617763d2dc90,1 - Climate Change/SDG2/Inventory of Good Practices of Sustainable and Circular Phosphorus Management in the Visegrad Group (V4).pdf,Inventory of Good Practices of Sustainable and Circular Phosphorus Management in the Visegrad Group (V4).pdf,1 - Climate Change,SDG2
7564347eecd1,"1 - Climate Change/SDG12/temp_batch/The life cycle of upper-level troughs and ridges_ a novel detection method, climatologies and Lagrangian characteristics.pdf","The life cycle of upper-level troughs and ridges_ a novel detection method, climatologies and Lagrangian characteristics.pdf",1 - Climate Change,SDG12
fdd8835bcd27,9 - Atmospheric Aerosol Loading/No SDG/Atmospheric boundary layer top height in South Africa_ measurements with lidar and radiosonde compared to three atmospheric models.pdf,Atmospheric boundary layer top height in South Africa_ measurements with lidar and radiosonde compared to three atmospheric models.pdf,9 - Atmospheric Aerosol Loading,No SDG
382511361344,1 - Climate Change/SDG15/The Atmospheric Chemistry and Canopy Exchange Simulation System (ACCESS)_ model description and application to a temperate deciduous forest canopy.pdf,The Atmospheric Chemistry and Canopy Exchange Simulation System (ACCESS)_ model description and application to a temperate deciduous forest canopy.pdf,1 - Climate Change,SDG15
609b963562f6,4 - Biogeochemical Flows/No SDG/Towards defining an environmental investment universe within planetary boundaries.pdf,Towards defining an environmental investment universe within planetary boundaries.pdf,4 - Biogeochemical Flows,No SDG
af540caf77a3,6 - Land System Change/SDG13/temp_batch/The Skillful Time Scale of Climate Models.pdf,The Skillful Time Scale of Climate Models.pdf,6 - Land System Change,SDG13
9818e979ed29,7 - Biosphere Integrity/No SDG/Divided We Fall_ Rethinking Biodiversity Planning in the Context of Development in Sub-Saharan Africa.pdf,Divided We Fall_ Rethinking Biodiversity Planning in the Context of Development in Sub-Saharan Africa.pdf,7 - Biosphere Integrity,No SDG
ad9c76fcd104,8 - Novel Entities/No SDG/Antimycobacterial activity of pyrazinoate prodrugs in replicating and non-replicating Mycobacterium tuberculosis.pdf,Antimycobacterial activity of pyrazinoate prodrugs in replicating and non-replicating Mycobacterium tuberculosis.pdf,8 - Novel Entities,No SDG
d1835685e1f5,4 - Biogeochemical Flows/No SDG/Watch Out for the “Living Dead”_ Cell-Free Enzymes and Their Fate.pdf,Watch Out for the “Living Dead”_ Cell-Free Enzymes and Their Fate.pdf,4 - Biogeochemical Flows,No SDG
5b14aa7f5011,"8 - Novel Entities/No SDG/Unique Diagnostic and Therapeutic Roles of Porphyrins and Phthalocyanines in Photodynamic Therapy, Imaging and Theranostics.pdf","Unique Diagnostic and Therapeutic Roles of Porphyrins and Phthalocyanines in Photodynamic Therapy, Imaging and Theranostics.pdf",8 - Novel Entities,No SDG
d7d00c390ca2,1 - Climate Change/No SDG/On the response of Himalayan glaciers to climate change.pdf,On the response of Himalayan glaciers to climate change.pdf,1 - Climate Change,No SDG
64429d88040a,"1 - Climate Change/No SDG/Climate Change, Agriculture and Migration_ A Survey.pdf","Climate Change, Agriculture and Migration_ A Survey.pdf",1 - Climate Change,No SDG
3b8ca1f80fbc,2 - Ocean Acidification/No SDG/temp_batch/Controls on gas hydrate system evolution in a region of active fluid flow in the SW Barents Sea.pdf,Controls on gas hydrate system evolution in a region of active fluid flow in the SW Barents Sea.pdf,2 - Ocean Acidification,No SDG
0f30f1739d8e,4 - Biogeochemical Flows/No SDG/Nitrogen Flow in Diazotrophic Cyanobacterium Aphanizomenon flos-aquae Is Altered by Cyanophage Infection.pdf,Nitrogen Flow in Diazotrophic Cyanobacterium Aphanizomenon flos-aquae Is Altered by Cyanophage Infection.pdf,4 - Biogeochemical Flows,No SDG
de4d569d68c5,9 - Atmospheric Aerosol Loading/No SDG/Black carbon and organic carbon dataset over the Third Pole.pdf,Black carbon and organic carbon dataset over the Third Pole.pdf,9 - Atmospheric Aerosol Loading,No SDG
52ac4d992192,1 - Climate Change/SDG10/Creating positive friction in the Anthropo(s)cenes.pdf,Creating positive friction in the Anthropo(s)cenes.pdf,1 - Climate Change,SDG10
78b8a8b03177,4 - Biogeochemical Flows/No SDG/A model of nitrous oxide evolution from soil driven by rainfall events_ 1. Model structure and sensitivity.pdf,A model of nitrous oxide evolution from soil driven by rainfall events_ 1. Model structure and sensitivity.pdf,4 - Biogeochemical Flows,No SDG
38703db4ca4d,8 - Novel Entities/No SDG/Data Privacy Based on IoT Device Behavior Control Using Blockchain.pdf,Data Privacy Based on IoT Device Behavior Control Using Blockchain.pdf,8 - Novel Entities,No SDG
381dd84ec5df,1 - Climate Change/SDG16/Interstitial and Abyssal geographies.pdf,Interstitial and Abyssal geographies.pdf,1 - Climate Change,SDG16
a1e1843a08e1,2 - Ocean Acidification/No SDG/temp_batch/Humans and seasonal climate variability threaten large-bodied coral reef fish with small ranges.pdf,Humans and seasonal climate variability threaten large-bodied coral reef fish with small ranges.pdf,2 - Ocean Acidification,No SDG
0aab0bd319c1,1 - Climate Change/SDG4/Towards an interdisciplinary ICT applied ethics_ language matters.pdf,Towards an interdisciplinary ICT applied ethics_ language matters.pdf,1 - Climate Change,SDG4
121ee3781b1a,"2 - Ocean Acidification/No SDG/Epibenthos Dynamics and Environmental Fluctuations in Two Contrasting Polar Carbonate Factories (Mosselbukta and Bjørnøy-Banken, Svalbard).pdf","Epibenthos Dynamics and Environmental Fluctuations in Two Contrasting Polar Carbonate Factories (Mosselbukta and Bjørnøy-Banken, Svalbard).pdf",2 - Ocean Acidification,No SDG
efa7c374d2ef,1 - Climate Change/SDG13/The solar magnetic activity band interaction and instabilities that shape quasi-periodic variability.pdf,The solar magnetic activity band interaction and instabilities that shape quasi-periodic variability.pdf,1 - Climate Change,SDG13
35bea053168d,8 - Novel Entities/No SDG/Biomedical Interpretable Entity Representations.pdf,Biomedical Interpretable Entity Representations.pdf,8 - Novel Entities,No SDG
16446307fe6e,1 - Climate Change/SDG4/Agency and Transformative Potential of Technology in Students’ Images of the Future.pdf,Agency and Transformative Potential of Technology in Students’ Images of the Future.pdf,1 - Climate Change,SDG4
dd111b899401,"1 - Climate Change/SDG14/A GCM comparison of Pleistocene super-interglacial periods in relation to Lake El'gygytgyn, NE Arctic Russia.pdf","A GCM comparison of Pleistocene super-interglacial periods in relation to Lake El'gygytgyn, NE Arctic Russia.pdf",1 - Climate Change,SDG14
2c546779507e,4 - Biogeochemical Flows/No SDG/The Landscape Ecology of Rivers_ from Patch-Based to Spatial Network Analyses.pdf,The Landscape Ecology of Rivers_ from Patch-Based to Spatial Network Analyses.pdf,4 - Biogeochemical Flows,No SDG
85479a17edb6,1 - Climate Change/SDG17/Chernobyl − Experience and Perspectives of International Cooperation and Environmental Protection.pdf,Chernobyl − Experience and Perspectives of International Cooperation and Environmental Protection.pdf,1 - Climate Change,SDG17
7993d7d5e3e6,2 - Ocean Acidification/No SDG/temp_batch/An Epigenetic Signature for Within-Generational Plasticity of a Reef Fish to Ocean Warming.pdf,An Epigenetic Signature for Within-Generational Plasticity of a Reef Fish to Ocean Warming.pdf,2 - Ocean Acidification,No SDG
cdd90e594f1a,3 - Stratospheric Ozone Depletion/SDG13/Introduction_ A perspective from the humanities-science boundary.pdf,Introduction_ A perspective from the humanities-science boundary.pdf,3 - Stratospheric Ozone Depletion,SDG13
2b92f473f86e,7 - Biosphere Integrity/No SDG/Resveratrol Pretreatment Inhibits Myocardial Apoptosis in Rats Following Coronary Microembolization via Inducing the PI3K_Akt_GSK-3β Signaling Cascade.pdf,Resveratrol Pretreatment Inhibits Myocardial Apoptosis in Rats Following Coronary Microembolization via Inducing the PI3K_Akt_GSK-3β Signaling Cascade.pdf,7 - Biosphere Integrity,No SDG
