doc_id;path;nombre_doc;pb_drive;1stpb;2ndpb;3rdpb;4thpb;5thpb;6thpb
ca6e200d678b;1 - Climate Change/SDG6/Variability in the speed of the Brewer–Dobson circulation as observed by Aura_MLS.pdf;Variability in the speed of the Brewer–Dobson circulation as observed by Aura_MLS.pdf;1;1;;;;;
3f68844ce318;1 - Climate Change/SDG10/Discovery of Geospatial Discriminating Patterns from Remote Sensing Datasets.pdf;Discovery of Geospatial Discriminating Patterns from Remote Sensing Datasets.pdf;1;7;;;;;
1f05b7130bac;2 - Ocean Acidification/SDG14/Chapter 1 Impacts of the Oceans on Climate Change.pdf;Chapter 1 Impacts of the Oceans on Climate Change.pdf;2;1;2;7;;;
733ba5fc919b;2 - Ocean Acidification/No SDG/temp_batch/Dissolved Oxygen and pH Dynamics Coupled to Photosynthesis in Huntington Bay, Western Long Island Sound.pdf;Dissolved Oxygen and pH Dynamics Coupled to Photosynthesis in Huntington Bay, Western Long Island Sound.pdf;2;2;7;4;;;
c6e6f6ecfc86;2 - Ocean Acidification/No SDG/temp_batch/Globally consistent assessment of coastal eutrophication.pdf;Globally consistent assessment of coastal eutrophication.pdf;2;4;7;;;;
777fe0df0d19;2 - Ocean Acidification/No SDG/temp_batch/How the Pacific Oyster Responds to Ocean Acidification_ Development and Application of a Meta-Analysis Based Adverse Outcome Pathway.pdf;How the Pacific Oyster Responds to Ocean Acidification_ Development and Application of a Meta-Analysis Based Adverse Outcome Pathway.pdf;2;2;7;;;;
958e8ae09926;2 - Ocean Acidification/No SDG/temp_batch/Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning.pdf;Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning.pdf;2;1;4;7;;;
d84d0ce7a4c8;2 - Ocean Acidification/No SDG/temp_batch/Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis.pdf;Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis.pdf;2;2;7;;;;
84915f5956b8;2 - Ocean Acidification/No SDG/temp_batch/Precision pH Sensor Based on WO3 Nanofiber-Polymer Composites and Differential Amplification.pdf;Precision pH Sensor Based on WO3 Nanofiber-Polymer Composites and Differential Amplification.pdf;2;2;1;;;;
a31195146871;2 - Ocean Acidification/No SDG/temp_batch/Biogeochemical implications of decomposing jellyfish blooms in a changing climate.pdf;Biogeochemical implications of decomposing jellyfish blooms in a changing climate.pdf;2;2;1;7;;;
0866b31f11c4;2 - Ocean Acidification/SDG13/The Weird and the Meta in Jeff VanderMeer's Dead Astronauts.pdf;The Weird and the Meta in Jeff VanderMeer's Dead Astronauts.pdf;2;1;;;;;
66c76ad14a95;2 - Ocean Acidification/No SDG/Visualizing a Field of Research With Scientometrics_ Climate Change Associated With Major Aquatic Species Production in the World.pdf;Visualizing a Field of Research With Scientometrics_ Climate Change Associated With Major Aquatic Species Production in the World.pdf;2;1;2;;;;
afea8402003b;2 - Ocean Acidification/No SDG/Anthropogenic carbon and ocean pH.pdf;Anthropogenic carbon and ocean pH.pdf;2;2;1;;;;
bdf5eac988ad;2 - Ocean Acidification/No SDG/A circular economy approach to plastic waste.pdf;A circular economy approach to plastic waste.pdf;2;8;;;;;
2847f25a6987;3 - Stratospheric Ozone Depletion/No SDG/Determination of the absorption cross sections of higher-order iodine oxides at 355 and 532 nm.pdf;Determination of the absorption cross sections of higher-order iodine oxides at 355 and 532 nm.pdf;3;9;3;;;;
e33a9f68417e;3 - Stratospheric Ozone Depletion/No SDG/Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf;Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf;3;1;;;;;
5b69b4b177c8;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/A vertically resolved, global, gap-free ozone database for assessing or constraining global climate model simulations.pdf;A vertically resolved, global, gap-free ozone database for assessing or constraining global climate model simulations.pdf;3;3;;;;;
7d15d84ce20e;3 - Stratospheric Ozone Depletion/No SDG/Exposure to ultraviolet radiation delays photosynthetic recovery in Arctic kelp zoospores.pdf;Exposure to ultraviolet radiation delays photosynthetic recovery in Arctic kelp zoospores.pdf;3;3;7;;;;
3159c4d063f0;3 - Stratospheric Ozone Depletion/No SDG/Intensification and deepening of the Arabian Sea Oxygen Minimum Zone in response to increase in Indian monsoon wind intensity.pdf;Intensification and deepening of the Arabian Sea Oxygen Minimum Zone in response to increase in Indian monsoon wind intensity.pdf;3;1;4;;;;
fc1441e078b0;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/A scientific algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor.pdf;A scientific algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor.pdf;3;1;;;;;
9cdd576a9db7;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Atmospheric chemistry and global change.pdf;Atmospheric chemistry and global change.pdf;3;3;;;;;
358f64b8021b;3 - Stratospheric Ozone Depletion/SDG14/Rapid increase in ozone-depleting chloroform emissions from China.pdf;Rapid increase in ozone-depleting chloroform emissions from China.pdf;3;3;;;;;
da697160487b;3 - Stratospheric Ozone Depletion/No SDG/Sensitivity of tracer transport to model resolution, prescribed meteorology and tracer lifetime in the general circulation model ECHAM5.pdf;Sensitivity of tracer transport to model resolution, prescribed meteorology and tracer lifetime in the general circulation model ECHAM5.pdf;3;9;3;;;;
cab713fe6b41;3 - Stratospheric Ozone Depletion/No SDG/Built Environment and Wellbeing—Standards, Multi-Criteria Evaluation Methods, Certifications.pdf;Built Environment and Wellbeing—Standards, Multi-Criteria Evaluation Methods, Certifications.pdf;3;;;;;;
de492b348258;3 - Stratospheric Ozone Depletion/No SDG/Building national emission inventories for the energy sector_ Implications for life cycle assessment and nations environmental footprinting.pdf;Building national emission inventories for the energy sector_ Implications for life cycle assessment and nations environmental footprinting.pdf;3;8;9;;;;
c95e30752adf;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Synthesizing the evidence of nitrous oxide mitigation practices in agroecosystems.pdf;Synthesizing the evidence of nitrous oxide mitigation practices in agroecosystems.pdf;3;1;4;3;;;
7c0bf746ba69;4 - Biogeochemical Flows/No SDG/Enrichment, distribution and sources of heavy metals in the sediments of Deception Bay, Queensland, Australia.pdf;Enrichment, distribution and sources of heavy metals in the sediments of Deception Bay, Queensland, Australia.pdf;4;8;7;;;;
1b1615a2a91f;4 - Biogeochemical Flows/No SDG/Chars produced by slow pyrolysis and hydrothermal carbonization vary in carbon sequestration potential and greenhouse gases emissions.pdf;Chars produced by slow pyrolysis and hydrothermal carbonization vary in carbon sequestration potential and greenhouse gases emissions.pdf;4;4;1;;;;
410aff4dd954;4 - Biogeochemical Flows/No SDG/Anaerobic Methane Oxidation in a Landfill-Leachate Plume.pdf;Anaerobic Methane Oxidation in a Landfill-Leachate Plume.pdf;4;1;4;;;;
b9e1bf330baf;4 - Biogeochemical Flows/No SDG/Autotrophic and mixotrophic metabolism of an anammox bacterium revealed by in vivo 13C and 2H metabolic network mapping.pdf;Autotrophic and mixotrophic metabolism of an anammox bacterium revealed by in vivo 13C and 2H metabolic network mapping.pdf;4;4;1;;;;
a59af72ab39c;4 - Biogeochemical Flows/No SDG/Chemoautotrophy at Deep-Sea Vents_ Past, Present, and Future.pdf;Chemoautotrophy at Deep-Sea Vents_ Past, Present, and Future.pdf;4;4;7;;;;
5b0090a41d47;4 - Biogeochemical Flows/No SDG/Around one third of current Arctic Ocean primary production sustained by rivers and coastal erosion.pdf;Around one third of current Arctic Ocean primary production sustained by rivers and coastal erosion.pdf;4;4;7;;;;
6039788ff154;4 - Biogeochemical Flows/No SDG/Environmental mutagenesis during the end-Permian ecological crisis.pdf;Environmental mutagenesis during the end-Permian ecological crisis.pdf;4;3;7;;;;
9153f4dcf3d6;4 - Biogeochemical Flows/SDG13/The impact of initial and boundary conditions on severe weather event simulations using a high-resolution WRF model. Case study of the derecho event in Poland on 11 August 2017.pdf;The impact of initial and boundary conditions on severe weather event simulations using a high-resolution WRF model. Case study of the derecho event in Poland on 11 August 2017.pdf;4;1;;;;;
4b96859cedec;4 - Biogeochemical Flows/SDG13/The Only Commonality is Uncommonality_ Progressive Protest from the Mid-1980s, Globalization from Below, Environmental Devastation, Climate Change, and Questioning of Industrial Civilization.pdf;The Only Commonality is Uncommonality_ Progressive Protest from the Mid-1980s, Globalization from Below, Environmental Devastation, Climate Change, and Questioning of Industrial Civilization.pdf;4;1;;;;;
3c0c667b5363;4 - Biogeochemical Flows/No SDG/temp_batch/Molecular proxies as indicators of freshwater incursion-driven salinity stratification.pdf;Molecular proxies as indicators of freshwater incursion-driven salinity stratification.pdf;4;4;;;;;
cf94a74b8764;4 - Biogeochemical Flows/No SDG/Abundance and activity of major groups of prokaryotic plankton in the coastal North Sea during spring and summer.pdf;Abundance and activity of major groups of prokaryotic plankton in the coastal North Sea during spring and summer.pdf;4;4;7;;;;
2ea3de6be731;4 - Biogeochemical Flows/No SDG/Dynamics of particulate organic matter d15N and d13C during spring phytoplankton blooms in a macrotidal ecosystem (Bay of Seine, France).pdf;Dynamics of particulate organic matter d15N and d13C during spring phytoplankton blooms in a macrotidal ecosystem (Bay of Seine, France).pdf;4;4;;;;;
6c517c5bda80;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Proxies and Measurement Techniques for Mineral Dust in Antarctic Ice Cores.pdf;Proxies and Measurement Techniques for Mineral Dust in Antarctic Ice Cores.pdf;9;1;4;6;;;
56c7d6d62d7c;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Dust Aerosol Characteristics and Shortwave Radiative Impact at a Gobi Desert of Northwest China during the Spring of 2012.pdf;Dust Aerosol Characteristics and Shortwave Radiative Impact at a Gobi Desert of Northwest China during the Spring of 2012.pdf;9;6;1;4;;;
0672168600bf;9 - Atmospheric Aerosol Loading/No SDG/Aircraft measurements of aerosol and trace gas chemistry in the eastern North Atlantic.pdf;Aircraft measurements of aerosol and trace gas chemistry in the eastern North Atlantic.pdf;9;6;1;4;;;
260cc6707374;9 - Atmospheric Aerosol Loading/No SDG/Atmospheric deposition of organic matter at a remote site in the central Mediterranean Sea_ implications for the marine ecosystem.pdf;Atmospheric deposition of organic matter at a remote site in the central Mediterranean Sea_ implications for the marine ecosystem.pdf;9;9;6;1;;;
a2d7c6427ea6;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Atmospheric nitrous acid (HONO) at a rural coastal site in North China_ Seasonal variations and effects of biomass burning.pdf;Atmospheric nitrous acid (HONO) at a rural coastal site in North China_ Seasonal variations and effects of biomass burning.pdf;9;6;1;9;;;
7e7db277fd49;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/SO2 Emission Estimates Using OMI SO2 Retrievals for 2005–2017.pdf;SO2 Emission Estimates Using OMI SO2 Retrievals for 2005–2017.pdf;9;6;1;9;;;
ea1c763936e6;9 - Atmospheric Aerosol Loading/No SDG/A Simplified and Robust Surface Reflectance Estimation Method (SREM) for Use over Diverse Land Surfaces Using Multi-Sensor Data.pdf;A Simplified and Robust Surface Reflectance Estimation Method (SREM) for Use over Diverse Land Surfaces Using Multi-Sensor Data.pdf;9;;;;;;
edcffe92f4f7;9 - Atmospheric Aerosol Loading/No SDG/Variations in atmospheric PM trace metal content in Spanish towns_ Illustrating the chemical complexity of the inorganic urban aerosol cocktail.pdf;Variations in atmospheric PM trace metal content in Spanish towns_ Illustrating the chemical complexity of the inorganic urban aerosol cocktail.pdf;9;9;6;7;;;
d1fc7e47a220;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Loading-dependent elemental composition of ?-pinene SOA particles.pdf;Loading-dependent elemental composition of ?-pinene SOA particles.pdf;9;6;9;1;;;
b9283c8bb52e;9 - Atmospheric Aerosol Loading/No SDG/Temporal Variability and Characterization of Aerosols across the Pakistan Region during the Winter Fog Periods.pdf;Temporal Variability and Characterization of Aerosols across the Pakistan Region during the Winter Fog Periods.pdf;9;6;9;1;;;
08f457a29ab7;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Reactive Halogens in the Marine Boundary Layer (RHaMBLe)_ the tropical North Atlantic experiments.pdf;Reactive Halogens in the Marine Boundary Layer (RHaMBLe)_ the tropical North Atlantic experiments.pdf;9;6;1;9;;;
bd9f05de8774;9 - Atmospheric Aerosol Loading/No SDG/Origin of dimethylsulfide, non?sea?salt sulfate, and methanesulfonic acid in eastern Antarctica.pdf;Origin of dimethylsulfide, non?sea?salt sulfate, and methanesulfonic acid in eastern Antarctica.pdf;9;6;4;1;;;
455162266eca;8 - Novel Entities/No SDG/Attention Please! A Hybrid Resource Recommender Mimicking Attention-Interpretation Dynamics.pdf;Attention Please! A Hybrid Resource Recommender Mimicking Attention-Interpretation Dynamics.pdf;8;;;;;;
e8ac38dcd4f6;8 - Novel Entities/No SDG/Text Classification Algorithms_ A Survey.pdf;Text Classification Algorithms_ A Survey.pdf;8;;;;;;
e727426383d4;8 - Novel Entities/SDG15/Sensitivity of Pollutant Concentrations to the Turbulence Schemes of a Dispersion Modelling Chain over Complex Orography.pdf;Sensitivity of Pollutant Concentrations to the Turbulence Schemes of a Dispersion Modelling Chain over Complex Orography.pdf;8;6;1;;;;
fd7c9736c65e;8 - Novel Entities/No SDG/temp_batch/Current and Emerging Themes in the Structural Analysis of Viral RNA Genomes_ Applications for the Development of Novel Therapeutic Drugs.pdf;Current and Emerging Themes in the Structural Analysis of Viral RNA Genomes_ Applications for the Development of Novel Therapeutic Drugs.pdf;8;;;;;;
3d6573117d0b;8 - Novel Entities/SDG15/Oecumene_ Repositioning Ourselves in Our Habitat.pdf;Oecumene_ Repositioning Ourselves in Our Habitat.pdf;8;7;1;3;;;
eac718b2695f;8 - Novel Entities/No SDG/Exploiting Graphic Card Processor Technology to Accelerate Data Mining Queries in SAP NetWeaver BIA.pdf;Exploiting Graphic Card Processor Technology to Accelerate Data Mining Queries in SAP NetWeaver BIA.pdf;8;;;;;;
4c59c898e3d7;8 - Novel Entities/No SDG/Progressive Sarcopenia Correlates with Poor Response and Outcome to Immune Checkpoint Inhibitor Therapy.pdf;Progressive Sarcopenia Correlates with Poor Response and Outcome to Immune Checkpoint Inhibitor Therapy.pdf;8;;;;;;
b98dbc59db77;8 - Novel Entities/No SDG/On Organizational Becoming_ Rethinking Organizational Change.pdf;On Organizational Becoming_ Rethinking Organizational Change.pdf;8;;;;;;
0b7a68d1a06a;8 - Novel Entities/SDG13/A diagnostic interface for the ICOsahedral Non-hydrostatic (ICON) modelling framework based on the Modular Earth Submodel System (MESSy v2.50).pdf;A diagnostic interface for the ICOsahedral Non-hydrostatic (ICON) modelling framework based on the Modular Earth Submodel System (MESSy v2.50).pdf;8;1;;;;;
762d789f17fe;8 - Novel Entities/No SDG/The transcriptomes of novel marmoset monkey embryonic stem cell lines reflect distinct genomic features.pdf;The transcriptomes of novel marmoset monkey embryonic stem cell lines reflect distinct genomic features.pdf;8;;;;;;
73261bea95b6;8 - Novel Entities/No SDG/temp_batch/Rare Titin (TTN) Variants in Diseases Associated with Sudden Cardiac Death.pdf;Rare Titin (TTN) Variants in Diseases Associated with Sudden Cardiac Death.pdf;8;;;;;;
bb87293d7644;8 - Novel Entities/SDG13/20 Years of global climate change governance research_ taking stock and moving forward.pdf;20 Years of global climate change governance research_ taking stock and moving forward.pdf;8;1;7;3;;;
cb831c750a69;7 - Biosphere Integrity/SDG15/Extinct flagships_ linking extinct and threatened species.pdf;Extinct flagships_ linking extinct and threatened species.pdf;7;7;;;;;
8a3d4a75e493;7 - Biosphere Integrity/No SDG/The need of an ethics of planetary sustainability.pdf;The need of an ethics of planetary sustainability.pdf;7;1;3;2;;;
ee5e8ed6aa50;7 - Biosphere Integrity/No SDG/A Study on the Rationality of Land Use Change in the Dianchi Basin during the Last 40 Years under the Background of Lake Revolution.pdf;A Study on the Rationality of Land Use Change in the Dianchi Basin during the Last 40 Years under the Background of Lake Revolution.pdf;7;5;3;1;;;
6adf36ff1a69;7 - Biosphere Integrity/No SDG/Alleviate The Adverse Effects Of Some Heavy Metals And Improve Quality And Storability Of Tomato And Kidney Bean Plants Grown Under Pollution Conditions.pdf;Alleviate The Adverse Effects Of Some Heavy Metals And Improve Quality And Storability Of Tomato And Kidney Bean Plants Grown Under Pollution Conditions.pdf;7;9;3;2;;;
a0bf6d5dbb2a;7 - Biosphere Integrity/No SDG/temp_batch/Survival of the fittest author.pdf;Survival of the fittest author.pdf;7;3;1;;;;
b04f1061de65;7 - Biosphere Integrity/No SDG/temp_batch/The meaning of life together and inter-relationship in business.pdf;The meaning of life together and inter-relationship in business.pdf;7;3;2;1;;;
b2f5c867cc6d;7 - Biosphere Integrity/SDG13/Innovations and limits in methods of forecasting global environmental change.pdf;Innovations and limits in methods of forecasting global environmental change.pdf;7;1;7;4;;;
42c958306230;7 - Biosphere Integrity/No SDG/temp_batch/An evaluation of soil retention potential as an important factor of water balance in the landscape.pdf;An evaluation of soil retention potential as an important factor of water balance in the landscape.pdf;7;5;4;2;;;
0f11125f1b80;7 - Biosphere Integrity/No SDG/temp_batch/A Large Drop in Atmospheric 14 C_ 12 C and Reduced Melting in the Younger Dryas, Documented with 230 Th Ages of Corals.pdf;A Large Drop in Atmospheric 14 C_ 12 C and Reduced Melting in the Younger Dryas, Documented with 230 Th Ages of Corals.pdf;7;1;4;;;;
1710172c2f61;7 - Biosphere Integrity/No SDG/Reports and Discussions.pdf;Reports and Discussions.pdf;7;3;2;6;;;
21ecc353ac74;7 - Biosphere Integrity/No SDG/A Rights Turn in Biodiversity Litigation_.pdf;A Rights Turn in Biodiversity Litigation_.pdf;7;3;1;2;;;
eb62900f32b4;7 - Biosphere Integrity/No SDG/Preliminary thoughts on the application of thermodynamics to the development of sustainability criteria.pdf;Preliminary thoughts on the application of thermodynamics to the development of sustainability criteria.pdf;7;1;3;6;;;
9c540c6b7af5;6 - Land System Change/SDG7/temp_batch/Investigating thermal properties of gas-filled planetary regoliths using a thermal probe.pdf;Investigating thermal properties of gas-filled planetary regoliths using a thermal probe.pdf;6;;;;;;
3e5fff353a4c;6 - Land System Change/SDG13/temp_batch/Climatic conditions for emergence and flight of mountain pine beetle_ implications for long-distance dispersal.pdf;Climatic conditions for emergence and flight of mountain pine beetle_ implications for long-distance dispersal.pdf;6;5;1;;;;
f21bc832abc6;6 - Land System Change/No SDG/temp_batch/Disturbance type and species life history predict mammal responses to humans.pdf;Disturbance type and species life history predict mammal responses to humans.pdf;6;5;1;;;;
9e1320ce502d;6 - Land System Change/SDG13/Hurricane Forecasts with a Mesoscale Suite of Models.pdf;Hurricane Forecasts with a Mesoscale Suite of Models.pdf;6;1;;;;;
dbd6c72cd37b;6 - Land System Change/SDG7/Seasonal Correction of Offshore Wind Energy Potential due to Air Density_ Case of the Iberian Peninsula.pdf;Seasonal Correction of Offshore Wind Energy Potential due to Air Density_ Case of the Iberian Peninsula.pdf;6;1;;;;;
b68bd4348e6d;6 - Land System Change/SDG11/MM5 simulations of a SCOS97-NARSTO episode.pdf;MM5 simulations of a SCOS97-NARSTO episode.pdf;6;3;9;;;;
362e76793312;6 - Land System Change/SDG1/Infectious disease emergence and global change_ thinking systemically in a shrinking world.pdf;Infectious disease emergence and global change_ thinking systemically in a shrinking world.pdf;6;1;5;;;;
888d4516378f;6 - Land System Change/SDG13/temp_batch/Commentaries on Top-Cited Boundary-Layer Meteorology Articles.pdf;Commentaries on Top-Cited Boundary-Layer Meteorology Articles.pdf;6;1;;;;;
bbf5ed8cca66;6 - Land System Change/No SDG/temp_batch/Early Lycophyte Evolution.pdf;Early Lycophyte Evolution.pdf;6;5;;;;;
697b132b1c14;6 - Land System Change/SDG12/temp_batch/Recyclability, durability and water vapour adsorption of unstabilised and stabilised compressed earth bricks.pdf;Recyclability, durability and water vapour adsorption of unstabilised and stabilised compressed earth bricks.pdf;6;9;7;;;;
fd5e38820a05;6 - Land System Change/No SDG/temp_batch/Spatial Analysis of the Drivers, Characteristics, and Effects of Forest Fragmentation.pdf;Spatial Analysis of the Drivers, Characteristics, and Effects of Forest Fragmentation.pdf;6;5;1;;;;
3bbd6f08b6ac;6 - Land System Change/No SDG/temp_batch/Systems Approach to Management of Water Resources—Toward Performance Based Water Resources Engineering.pdf;Systems Approach to Management of Water Resources—Toward Performance Based Water Resources Engineering.pdf;6;7;1;;;;
da95dfe229ec;5 - Global Freshwater Use/No SDG/temp_batch/Internal secular variability in an ocean general circulation model.pdf;Internal secular variability in an ocean general circulation model.pdf;5;1;7;;;;
61c5ef71efb6;5 - Global Freshwater Use/SDG14/Legal Lamination to Transboundary Movement of Plastic Pollutants.pdf;Legal Lamination to Transboundary Movement of Plastic Pollutants.pdf;5;9;4;7;5;;
9275249d37b1;5 - Global Freshwater Use/No SDG/temp_batch/History, Status, and Future of Oyster Culture in France.pdf;History, Status, and Future of Oyster Culture in France.pdf;5;5;4;7;;;
0473ab551ece;5 - Global Freshwater Use/No SDG/Analysis of global Aeromonas veronii genomes provides novel information on source of infection and virulence in human gastrointestinal diseases.pdf;Analysis of global Aeromonas veronii genomes provides novel information on source of infection and virulence in human gastrointestinal diseases.pdf;5;5;7;;;;
efb1b08a09c7;5 - Global Freshwater Use/No SDG/temp_batch/Climatologically Significant Effects of Some Approximations in the Bulk Parameterizations of Turbulent Air–Sea Fluxes.pdf;Climatologically Significant Effects of Some Approximations in the Bulk Parameterizations of Turbulent Air–Sea Fluxes.pdf;5;1;4;7;;;
6fa69e1a923c;5 - Global Freshwater Use/SDG14/temp_batch/Eddy characteristics in the eastern South Pacific.pdf;Eddy characteristics in the eastern South Pacific.pdf;5;7;5;;;;
2cca03b7a82b;5 - Global Freshwater Use/No SDG/Forecasting changes in precipitation and temperatures of a regional watershed in Northern Iraq using LARS-WG model.pdf;Forecasting changes in precipitation and temperatures of a regional watershed in Northern Iraq using LARS-WG model.pdf;5;1;7;;;;
600784de6428;5 - Global Freshwater Use/SDG14/temp_batch/Deglacial ice sheet meltdown_ orbital pacemaking and CO<sub>2<_sub> effects.pdf;Deglacial ice sheet meltdown_ orbital pacemaking and CO<sub>2<_sub> effects.pdf;5;1;4;5;;;
e94f3a3a8624;5 - Global Freshwater Use/SDG2/Development of healthy and sustainable food-based dietary guidelines for the Netherlands.pdf;Development of healthy and sustainable food-based dietary guidelines for the Netherlands.pdf;5;6;5;9;;;
81a2071c7d3b;5 - Global Freshwater Use/No SDG/temp_batch/Sensor Capability and Atmospheric Correction in Ocean Colour Remote Sensing.pdf;Sensor Capability and Atmospheric Correction in Ocean Colour Remote Sensing.pdf;5;4;7;;;;
7f70ba66f24a;5 - Global Freshwater Use/SDG13/Understanding model diversity in future precipitation projections for South America.pdf;Understanding model diversity in future precipitation projections for South America.pdf;5;1;7;5;;;
b1fb9424d9f7;5 - Global Freshwater Use/SDG11/Use of reinforced ice as alternative building material in cold regions_ an overview.pdf;Use of reinforced ice as alternative building material in cold regions_ an overview.pdf;5;1;8;;;;
