pb_folder,term,doc_frequency
4 - Biogeochemical Flows,sea,12
4 - Biogeochemical Flows,increase,12
4 - Biogeochemical Flows,depth,12
4 - Biogeochemical Flows,sediments,12
4 - Biogeochemical Flows,samples,12
4 - Biogeochemical Flows,structure,12
4 - Biogeochemical Flows,published,12
4 - Biogeochemical Flows,production,12
4 - Biogeochemical Flows,dynamics,12
4 - Biogeochemical Flows,state,12
4 - Biogeochemical Flows,source,12
4 - Biogeochemical Flows,scale,11
4 - Biogeochemical Flows,associated,11
4 - Biogeochemical Flows,related,11
4 - Biogeochemical Flows,inputs,11
4 - Biogeochemical Flows,southern,11
4 - Biogeochemical Flows,environment,11
4 - Biogeochemical Flows,ecological,11
4 - Biogeochemical Flows,composition,11
4 - Biogeochemical Flows,uxes,11
4 - Biogeochemical Flows,north,11
4 - Biogeochemical Flows,seasonal,11
4 - Biogeochemical Flows,role,11
4 - Biogeochemical Flows,species,11
4 - Biogeochemical Flows,total,11
4 - Biogeochemical Flows,nutrient,11
4 - Biogeochemical Flows,primary,11
4 - Biogeochemical Flows,pro,11
4 - Biogeochemical Flows,current,11
4 - Biogeochemical Flows,plant,10
4 - Biogeochemical Flows,biological,10
4 - Biogeochemical Flows,oxygen,10
4 - Biogeochemical Flows,words,10
4 - Biogeochemical Flows,cation,10
5 - Global Freshwater Use,water,35
5 - Global Freshwater Use,global,34
5 - Global Freshwater Use,freshwater,30
5 - Global Freshwater Use,use,17
5 - Global Freshwater Use,species,16
5 - Global Freshwater Use,surface,16
5 - Global Freshwater Use,climate,15
5 - Global Freshwater Use,change,15
5 - Global Freshwater Use,development,15
5 - Global Freshwater Use,major,15
5 - Global Freshwater Use,associated,14
5 - Global Freshwater Use,key,14
5 - Global Freshwater Use,ecosystems,14
5 - Global Freshwater Use,temperature,14
5 - Global Freshwater Use,systems,13
5 - Global Freshwater Use,effects,13
5 - Global Freshwater Use,available,13
5 - Global Freshwater Use,environmental,13
5 - Global Freshwater Use,river,13
5 - Global Freshwater Use,period,13
5 - Global Freshwater Use,total,13
5 - Global Freshwater Use,conditions,13
5 - Global Freshwater Use,time,13
5 - Global Freshwater Use,increasing,12
5 - Global Freshwater Use,production,12
5 - Global Freshwater Use,range,12
5 - Global Freshwater Use,marine,12
5 - Global Freshwater Use,area,12
5 - Global Freshwater Use,sea,12
5 - Global Freshwater Use,areas,12
5 - Global Freshwater Use,management,11
5 - Global Freshwater Use,ecological,11
5 - Global Freshwater Use,world,11
5 - Global Freshwater Use,biodiversity,11
5 - Global Freshwater Use,increased,11
5 - Global Freshwater Use,natural,11
5 - Global Freshwater Use,level,11
5 - Global Freshwater Use,rates,11
5 - Global Freshwater Use,long,11
5 - Global Freshwater Use,large,10
5 - Global Freshwater Use,addition,10
5 - Global Freshwater Use,south,10
5 - Global Freshwater Use,impact,10
5 - Global Freshwater Use,increase,10
5 - Global Freshwater Use,scale,10
5 - Global Freshwater Use,especially,10
5 - Global Freshwater Use,provide,10
5 - Global Freshwater Use,ocean,10
5 - Global Freshwater Use,food,10
5 - Global Freshwater Use,resources,9
5 - Global Freshwater Use,human,9
5 - Global Freshwater Use,structure,9
5 - Global Freshwater Use,information,9
5 - Global Freshwater Use,understanding,9
5 - Global Freshwater Use,rivers,9
5 - Global Freshwater Use,sources,9
5 - Global Freshwater Use,atmospheric,9
5 - Global Freshwater Use,largest,9
5 - Global Freshwater Use,showed,9
5 - Global Freshwater Use,environment,9
5 - Global Freshwater Use,possible,9
5 - Global Freshwater Use,levels,9
5 - Global Freshwater Use,aquatic,9
5 - Global Freshwater Use,focus,9
5 - Global Freshwater Use,ice,9
5 - Global Freshwater Use,compared,9
5 - Global Freshwater Use,words,9
5 - Global Freshwater Use,conservation,9
5 - Global Freshwater Use,years,9
5 - Global Freshwater Use,carbon,9
5 - Global Freshwater Use,distribution,9
5 - Global Freshwater Use,assessment,9
5 - Global Freshwater Use,growth,9
5 - Global Freshwater Use,changes,9
5 - Global Freshwater Use,patterns,9
5 - Global Freshwater Use,need,9
5 - Global Freshwater Use,lakes,8
5 - Global Freshwater Use,energy,8
5 - Global Freshwater Use,processes,8
5 - Global Freshwater Use,local,8
6 - Land System Change,land,60
6 - Land System Change,use,42
6 - Land System Change,change,42
6 - Land System Change,changes,34
6 - Land System Change,systems,30
6 - Land System Change,large,25
6 - Land System Change,environmental,24
6 - Land System Change,management,24
6 - Land System Change,areas,24
6 - Land System Change,climate,23
6 - Land System Change,surface,22
6 - Land System Change,water,21
6 - Land System Change,spatial,21
6 - Land System Change,area,21
6 - Land System Change,remote,20
6 - Land System Change,long,20
6 - Land System Change,time,20
6 - Land System Change,global,20
6 - Land System Change,cover,19
6 - Land System Change,human,18
6 - Land System Change,soil,18
6 - Land System Change,economic,18
6 - Land System Change,social,18
6 - Land System Change,region,18
6 - Land System Change,natural,17
6 - Land System Change,agricultural,17
6 - Land System Change,information,16
6 - Land System Change,especially,16
6 - Land System Change,scale,15
6 - Land System Change,urban,15
6 - Land System Change,associated,15
6 - Land System Change,understanding,15
6 - Land System Change,increased,15
6 - Land System Change,forest,15
6 - Land System Change,development,15
6 - Land System Change,distribution,15
6 - Land System Change,earth,15
6 - Land System Change,term,14
6 - Land System Change,period,14
6 - Land System Change,sensing,14
6 - Land System Change,impact,14
6 - Land System Change,published,14
6 - Land System Change,increase,14
6 - Land System Change,environment,13
6 - Land System Change,level,13
6 - Land System Change,processes,13
6 - Land System Change,open,13
6 - Land System Change,access,13
6 - Land System Change,effect,13
6 - Land System Change,sustainable,12
6 - Land System Change,population,12
6 - Land System Change,increasing,12
6 - Land System Change,strategies,12
6 - Land System Change,gis,12
6 - Land System Change,current,12
6 - Land System Change,related,12
6 - Land System Change,species,12
6 - Land System Change,role,11
6 - Land System Change,resources,11
6 - Land System Change,total,11
6 - Land System Change,material,11
6 - Land System Change,landscape,11
6 - Land System Change,compared,11
6 - Land System Change,energy,11
6 - Land System Change,source,11
6 - Land System Change,planning,10
6 - Land System Change,design,10
6 - Land System Change,available,10
6 - Land System Change,average,10
6 - Land System Change,addition,10
6 - Land System Change,range,10
6 - Land System Change,sites,10
6 - Land System Change,common,10
6 - Land System Change,case,10
6 - Land System Change,growth,10
6 - Land System Change,factors,10
6 - Land System Change,conditions,10
6 - Land System Change,history,10
6 - Land System Change,national,10
6 - Land System Change,impacts,10
7 - Biosphere Integrity,environmental,32
7 - Biosphere Integrity,human,24
7 - Biosphere Integrity,development,22
7 - Biosphere Integrity,environment,20
7 - Biosphere Integrity,management,20
7 - Biosphere Integrity,sustainable,18
7 - Biosphere Integrity,global,18
7 - Biosphere Integrity,systems,16
7 - Biosphere Integrity,ecological,16
7 - Biosphere Integrity,policy,15
7 - Biosphere Integrity,sustainability,15
7 - Biosphere Integrity,natural,15
7 - Biosphere Integrity,need,14
7 - Biosphere Integrity,world,14
7 - Biosphere Integrity,understanding,14
7 - Biosphere Integrity,local,13
7 - Biosphere Integrity,key,13
7 - Biosphere Integrity,use,13
7 - Biosphere Integrity,biodiversity,13
7 - Biosphere Integrity,ecosystem,12
7 - Biosphere Integrity,social,12
7 - Biosphere Integrity,land,12
7 - Biosphere Integrity,change,12
7 - Biosphere Integrity,case,12
7 - Biosphere Integrity,water,11
7 - Biosphere Integrity,plant,11
7 - Biosphere Integrity,economic,11
7 - Biosphere Integrity,ecosystems,11
7 - Biosphere Integrity,review,11
7 - Biosphere Integrity,conservation,11
7 - Biosphere Integrity,resources,11
7 - Biosphere Integrity,communities,11
7 - Biosphere Integrity,forest,11
7 - Biosphere Integrity,species,10
7 - Biosphere Integrity,life,10
7 - Biosphere Integrity,framework,10
7 - Biosphere Integrity,main,10
7 - Biosphere Integrity,published,10
7 - Biosphere Integrity,including,9
7 - Biosphere Integrity,years,9
7 - Biosphere Integrity,areas,9
7 - Biosphere Integrity,original,9
7 - Biosphere Integrity,project,9
7 - Biosphere Integrity,knowledge,9
7 - Biosphere Integrity,concept,9
7 - Biosphere Integrity,community,9
7 - Biosphere Integrity,context,9
7 - Biosphere Integrity,climate,9
7 - Biosphere Integrity,effects,8
7 - Biosphere Integrity,complex,8
7 - Biosphere Integrity,information,8
7 - Biosphere Integrity,making,8
7 - Biosphere Integrity,presented,8
7 - Biosphere Integrity,scale,8
7 - Biosphere Integrity,provide,8
7 - Biosphere Integrity,perspective,8
7 - Biosphere Integrity,given,8
7 - Biosphere Integrity,state,8
7 - Biosphere Integrity,role,8
7 - Biosphere Integrity,action,8
7 - Biosphere Integrity,time,7
7 - Biosphere Integrity,assessment,7
7 - Biosphere Integrity,evaluation,7
7 - Biosphere Integrity,waste,7
7 - Biosphere Integrity,degradation,7
7 - Biosphere Integrity,public,7
7 - Biosphere Integrity,cause,7
7 - Biosphere Integrity,crossref,7
7 - Biosphere Integrity,quality,7
7 - Biosphere Integrity,production,7
7 - Biosphere Integrity,international,7
7 - Biosphere Integrity,specific,7
7 - Biosphere Integrity,processes,7
7 - Biosphere Integrity,national,7
7 - Biosphere Integrity,aim,7
7 - Biosphere Integrity,forests,7
7 - Biosphere Integrity,population,7
7 - Biosphere Integrity,nature,7
7 - Biosphere Integrity,journal,7
7 - Biosphere Integrity,resource,7
8 - Novel Entities,novel,44
8 - Novel Entities,entities,28
8 - Novel Entities,entity,24
8 - Novel Entities,information,16
8 - Novel Entities,systems,16
8 - Novel Entities,time,16
8 - Novel Entities,large,15
8 - Novel Entities,set,14
8 - Novel Entities,multiple,14
8 - Novel Entities,design,13
8 - Novel Entities,propose,13
8 - Novel Entities,critical,13
8 - Novel Entities,provide,12
8 - Novel Entities,including,12
8 - Novel Entities,global,12
8 - Novel Entities,proposed,11
8 - Novel Entities,use,11
8 - Novel Entities,world,11
8 - Novel Entities,number,11
8 - Novel Entities,performance,10
8 - Novel Entities,compared,10
8 - Novel Entities,various,10
8 - Novel Entities,network,10
8 - Novel Entities,features,10
8 - Novel Entities,form,10
8 - Novel Entities,structure,10
8 - Novel Entities,clinical,10
8 - Novel Entities,state,10
8 - Novel Entities,human,10
8 - Novel Entities,scale,9
8 - Novel Entities,key,9
8 - Novel Entities,recent,9
8 - Novel Entities,framework,9
8 - Novel Entities,learning,9
8 - Novel Entities,tion,9
8 - Novel Entities,demonstrate,9
8 - Novel Entities,knowledge,9
8 - Novel Entities,particular,9
8 - Novel Entities,chemical,9
8 - Novel Entities,finally,9
8 - Novel Entities,cells,9
8 - Novel Entities,related,9
8 - Novel Entities,challenges,9
8 - Novel Entities,available,9
8 - Novel Entities,non,9
8 - Novel Entities,patients,9
8 - Novel Entities,associated,9
8 - Novel Entities,applications,8
8 - Novel Entities,resulting,8
8 - Novel Entities,years,8
8 - Novel Entities,current,8
8 - Novel Entities,users,8
8 - Novel Entities,identify,8
8 - Novel Entities,long,8
8 - Novel Entities,problem,8
8 - Novel Entities,practice,8
8 - Novel Entities,cell,8
8 - Novel Entities,able,8
8 - Novel Entities,processing,8
8 - Novel Entities,open,8
8 - Novel Entities,published,8
8 - Novel Entities,complex,8
8 - Novel Entities,user,8
8 - Novel Entities,applied,8
8 - Novel Entities,given,8
8 - Novel Entities,target,7
8 - Novel Entities,relationships,7
8 - Novel Entities,domains,7
8 - Novel Entities,highly,7
8 - Novel Entities,support,7
8 - Novel Entities,known,7
8 - Novel Entities,strategies,7
8 - Novel Entities,real,7
8 - Novel Entities,source,7
8 - Novel Entities,major,7
8 - Novel Entities,performed,7
8 - Novel Entities,activity,7
8 - Novel Entities,concept,7
8 - Novel Entities,algorithms,7
8 - Novel Entities,types,7
9 - Atmospheric Aerosol Loading,aerosol,66
9 - Atmospheric Aerosol Loading,atmos,43
9 - Atmospheric Aerosol Loading,atmospheric,37
9 - Atmospheric Aerosol Loading,aerosols,32
9 - Atmospheric Aerosol Loading,observed,32
9 - Atmospheric Aerosol Loading,mass,32
9 - Atmospheric Aerosol Loading,concentrations,32
9 - Atmospheric Aerosol Loading,chem,32
9 - Atmospheric Aerosol Loading,signi,30
9 - Atmospheric Aerosol Loading,particles,30
9 - Atmospheric Aerosol Loading,cloud,29
9 - Atmospheric Aerosol Loading,phys,28
9 - Atmospheric Aerosol Loading,measurements,27
9 - Atmospheric Aerosol Loading,satellite,26
9 - Atmospheric Aerosol Loading,conditions,26
9 - Atmospheric Aerosol Loading,time,26
9 - Atmospheric Aerosol Loading,organic,25
9 - Atmospheric Aerosol Loading,compared,24
9 - Atmospheric Aerosol Loading,higher,24
9 - Atmospheric Aerosol Loading,global,24
9 - Atmospheric Aerosol Loading,properties,23
9 - Atmospheric Aerosol Loading,emissions,23
9 - Atmospheric Aerosol Loading,average,23
9 - Atmospheric Aerosol Loading,optical,22
9 - Atmospheric Aerosol Loading,measured,22
9 - Atmospheric Aerosol Loading,surface,21
9 - Atmospheric Aerosol Loading,air,21
9 - Atmospheric Aerosol Loading,region,21
9 - Atmospheric Aerosol Loading,chemical,21
9 - Atmospheric Aerosol Loading,tion,21
9 - Atmospheric Aerosol Loading,particle,21
9 - Atmospheric Aerosol Loading,resolution,21
9 - Atmospheric Aerosol Loading,observations,20
9 - Atmospheric Aerosol Loading,large,20
9 - Atmospheric Aerosol Loading,clouds,20
9 - Atmospheric Aerosol Loading,climate,20
9 - Atmospheric Aerosol Loading,total,20
9 - Atmospheric Aerosol Loading,carbon,20
9 - Atmospheric Aerosol Loading,long,19
9 - Atmospheric Aerosol Loading,ing,19
9 - Atmospheric Aerosol Loading,range,19
9 - Atmospheric Aerosol Loading,dust,18
9 - Atmospheric Aerosol Loading,atmosphere,18
9 - Atmospheric Aerosol Loading,formation,18
9 - Atmospheric Aerosol Loading,concentration,18
9 - Atmospheric Aerosol Loading,spatial,17
9 - Atmospheric Aerosol Loading,radiation,17
9 - Atmospheric Aerosol Loading,mean,17
9 - Atmospheric Aerosol Loading,secondary,17
9 - Atmospheric Aerosol Loading,respectively,17
9 - Atmospheric Aerosol Loading,products,16
9 - Atmospheric Aerosol Loading,summer,16
9 - Atmospheric Aerosol Loading,number,16
9 - Atmospheric Aerosol Loading,values,16
9 - Atmospheric Aerosol Loading,effect,16
9 - Atmospheric Aerosol Loading,radiative,16
9 - Atmospheric Aerosol Loading,depth,16
9 - Atmospheric Aerosol Loading,composition,16
9 - Atmospheric Aerosol Loading,effects,16
9 - Atmospheric Aerosol Loading,lower,15
9 - Atmospheric Aerosol Loading,cantly,15
9 - Atmospheric Aerosol Loading,size,15
9 - Atmospheric Aerosol Loading,ground,15
9 - Atmospheric Aerosol Loading,changes,15
9 - Atmospheric Aerosol Loading,biomass,15
9 - Atmospheric Aerosol Loading,site,15
9 - Atmospheric Aerosol Loading,burning,15
9 - Atmospheric Aerosol Loading,larger,15
9 - Atmospheric Aerosol Loading,rst,15
9 - Atmospheric Aerosol Loading,regional,15
9 - Atmospheric Aerosol Loading,sources,15
9 - Atmospheric Aerosol Loading,impact,15
9 - Atmospheric Aerosol Loading,regions,14
9 - Atmospheric Aerosol Loading,anthropogenic,14
9 - Atmospheric Aerosol Loading,strong,14
9 - Atmospheric Aerosol Loading,species,14
9 - Atmospheric Aerosol Loading,variability,14
9 - Atmospheric Aerosol Loading,overall,14
9 - Atmospheric Aerosol Loading,period,14
9 - Atmospheric Aerosol Loading,level,13
